TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
Entre 26 e 30 anos,F,Preta,Brasileiro(a),2010,Não Respondeu,4318705,43,RS,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,5300108,53,DF,Presente,Presente,Presente,Presente,649.9,678.6,600.7,806.1,900.0,Q
20 anos,F,Amarela,Brasileiro(a),2020,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,368.8,352.8,441.9,536.9,580.0,F
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,4216602,42,SC,Faltou,Faltou,Faltou,Faltou,,,,,,H
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2008,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,427.7,499.2,542.1,386.8,580.0,A
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2010,Não Respondeu,2306702,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2014,Não Respondeu,2611101,26,PE,Presente,Presente,Presente,Presente,402.7,505.9,519.3,427.6,560.0,C
Entre 46 e 50 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,2504009,25,PB,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,F,Parda,Brasileiro(a),2015,Não Respondeu,2108603,21,MA,Presente,Presente,Presente,Presente,361.3,366.3,453.5,392.3,560.0,B
24 anos,F,Preta,Brasileiro(a),Não informado,Não Respondeu,3306008,33,RJ,Presente,Presente,Presente,Presente,535.1,569.6,522.8,444.7,780.0,D
20 anos,M,Branca,Brasileiro(a)Naturalizado(a),Não informado,Pública,3306305,33,RJ,Presente,Presente,Presente,Presente,640.0,648.6,604.8,779.2,460.0,G
22 anos,M,Parda,Brasileiro(a),2016,Não Respondeu,5208707,52,GO,Presente,Presente,Presente,Presente,535.0,516.6,477.0,638.0,560.0,E
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3503208,35,SP,Presente,Presente,Presente,Presente,485.5,403.7,521.0,479.6,580.0,K
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,3200409,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 36 e 40 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,1501402,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,F
21 anos,F,Preta,Brasileiro(a),2018,Não Respondeu,2307106,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,F
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3143104,31,MG,Presente,Presente,Presente,Presente,440.6,422.2,428.8,528.0,480.0,G
Entre 26 e 30 anos,F,Não Declarado,Brasileiro(a),2012,Não Respondeu,2930709,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 31 e 35 anos,M,Parda,Brasileiro(a),2009,Não Respondeu,4104808,41,PR,Presente,Presente,Presente,Presente,492.0,474.6,483.4,393.6,720.0,B
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,3547809,35,SP,Presente,Presente,Presente,Presente,482.2,599.1,467.6,503.0,380.0,J
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2012,Não Respondeu,1502103,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,B
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2408102,24,RN,Presente,Presente,Presente,Presente,559.7,564.3,443.2,571.9,720.0,H
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,4320701,43,RS,Faltou,Faltou,Faltou,Faltou,,,,,,D
25 anos,M,Parda,Brasileiro(a),2015,Não Respondeu,2104057,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,B
22 anos,F,Parda,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,2504009,25,PB,Faltou,Faltou,Faltou,Faltou,,,,,,B
