TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
17 anos,M,Preta,Brasileiro(a),Não informado,Pública,2305506,23,CE,Presente,Presente,Presente,Presente,463.3,375.3,411.7,625.2,680.0,B
23 anos,F,Parda,Brasileiro(a),2015,Não Respondeu,1200401,12,AC,Presente,Presente,Presente,Presente,407.2,526.0,518.1,547.7,640.0,C
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3550308,35,SP,Presente,Presente,Presente,Presente,499.3,546.2,499.5,511.9,580.0,H
20 anos,M,Parda,Brasileiro(a),Não informado,Pública,2302404,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
23 anos,M,Branca,Brasileiro(a),2015,Não Respondeu,5208004,52,GO,Presente,Presente,Presente,Presente,615.4,616.9,575.2,775.3,580.0,D
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,1302504,13,AM,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 46 e 50 anos,M,Preta,Brasileiro(a),Antes de 2007,Não Respondeu,2800308,28,SE,Faltou,Faltou,Faltou,Faltou,,,,,,A
25 anos,M,Parda,Brasileiro(a),2016,Não Respondeu,2927408,29,BA,Presente,Presente,Presente,Presente,382.9,446.5,387.7,413.3,680.0,C
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,2304400,23,CE,Presente,Presente,Presente,Presente,558.4,624.2,548.9,723.4,640.0,G
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,E
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2011,Não Respondeu,3151206,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2304400,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,A
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,4106902,41,PR,Presente,Presente,Presente,Presente,503.9,576.9,511.3,658.4,580.0,C
19 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,4314902,43,RS,Presente,Presente,Presente,Presente,687.9,742.7,678.9,792.0,840.0,Q
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3203007,32,ES,Presente,Presente,Presente,Presente,475.6,512.9,419.8,535.9,440.0,F
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,3510005,35,SP,Presente,Presente,Presente,Presente,592.4,538.4,562.6,655.8,960.0,F
Entre 26 e 30 anos,F,Branca,Brasileiro(a),2012,Não Respondeu,1500800,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,F
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2304400,23,CE,Faltou,Presente,Presente,Faltou,,414.3,453.4,,580.0,B
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3550308,35,SP,Presente,Presente,Presente,Presente,441.8,628.6,562.1,450.8,600.0,C
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,3507506,35,SP,Presente,Presente,Presente,Presente,533.6,585.0,496.7,485.3,520.0,F
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,5300108,53,DF,Presente,Presente,Presente,Presente,486.5,422.5,473.4,624.3,920.0,L
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,2920601,29,BA,Presente,Presente,Presente,Presente,408.2,340.1,409.5,511.7,540.0,G
Entre 51 e 55 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,2610707,26,PE,Presente,Presente,Presente,Presente,523.1,585.3,510.8,524.8,580.0,E
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3301009,33,RJ,Presente,Presente,Presente,Presente,643.1,680.8,627.1,767.5,940.0,G
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,5300108,53,DF,Presente,Presente,Presente,Presente,394.5,395.8,337.3,474.3,580.0,A
21 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,3143906,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2011,Não Respondeu,2513703,25,PB,Presente,Presente,Presente,Presente,525.1,540.1,436.6,481.2,600.0,E
22 anos,F,Parda,Brasileiro(a),2017,Não Respondeu,5103403,51,MT,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Presente,Presente,Presente,Presente,431.5,611.5,557.6,565.7,600.0,C
22 anos,F,Preta,Brasileiro(a),2017,Não Respondeu,2930709,29,BA,Presente,Presente,Presente,Presente,511.3,509.2,403.9,425.3,680.0,B
Entre 26 e 30 anos,M,Preta,Brasileiro(a),2009,Não Respondeu,2105302,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,D
18 anos,F,Preta,Brasileiro(a),2020,Não Respondeu,4101408,41,PR,Presente,Presente,Presente,Presente,387.3,442.1,395.8,433.5,580.0,E
18 anos,F,Não Declarado,Brasileiro(a),Não informado,Privada,1501402,15,PA,Presente,Presente,Presente,Presente,570.9,666.3,638.2,696.3,840.0,J
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,4214805,42,SC,Faltou,Presente,Presente,Faltou,,631.2,525.0,,640.0,I
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,2800308,28,SE,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,3530706,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,E
Entre 31 e 35 anos,M,Branca,Brasileiro(a),2008,Não Respondeu,2107506,21,MA,Presente,Presente,Presente,Presente,496.6,541.0,497.8,591.7,680.0,E
Entre 36 e 40 anos,M,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,3202405,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,D
20 anos,M,Não Declarado,Brasileiro(a),2019,Não Respondeu,3303203,33,RJ,Presente,Presente,Presente,Presente,561.1,604.6,542.0,563.5,560.0,D
18 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,2504009,25,PB,Presente,Presente,Presente,Presente,565.0,623.2,595.5,678.9,620.0,B
20 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,4309407,43,RS,Presente,Presente,Presente,Presente,548.1,504.1,502.6,613.1,560.0,F
Entre 26 e 30 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,3534401,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,3530607,35,SP,Presente,Presente,Presente,Presente,630.2,651.2,614.3,679.4,800.0,C
19 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,2408102,24,RN,Presente,Faltou,Faltou,Presente,417.5,,,423.6,,D
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,2918001,29,BA,Presente,Presente,Presente,Presente,578.4,580.9,570.8,594.9,780.0,K
17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,3143302,31,MG,Presente,Presente,Presente,Presente,553.8,510.8,539.8,581.4,620.0,D
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2919553,29,BA,Presente,Presente,Presente,Presente,529.9,501.5,515.0,662.6,600.0,G
19 anos,F,Amarela,Brasileiro(a),Não informado,Pública,2607901,26,PE,Presente,Presente,Presente,Presente,369.1,439.7,438.3,480.9,560.0,F
23 anos,F,Parda,Brasileiro(a),2015,Não Respondeu,1302603,13,AM,Presente,Presente,Presente,Presente,573.5,442.3,472.0,572.5,580.0,B
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3526803,35,SP,Presente,Presente,Presente,Presente,437.5,511.0,541.0,641.5,760.0,F
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,2103307,21,MA,Presente,Presente,Presente,Presente,389.7,420.4,479.2,490.4,800.0,B
21 anos,M,Parda,Brasileiro(a),2017,Não Respondeu,3529203,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,F
24 anos,F,Parda,Brasileiro(a)Naturalizado(a),2015,Não Respondeu,3105608,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 26 e 30 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,1501402,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 51 e 55 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,2211001,22,PI,Presente,Presente,Presente,Presente,342.2,498.2,391.9,337.0,600.0,B
20 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2313906,23,CE,Presente,Presente,Presente,Presente,472.1,380.7,398.2,460.6,460.0,A
Entre 26 e 30 anos,F,Preta,Brasileiro(a),2013,Não Respondeu,1721000,17,TO,Presente,Presente,Presente,Presente,417.3,544.3,472.8,395.3,560.0,E
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,477.6,407.7,326.4,393.2,560.0,A
17 anos,F,Amarela,Brasileiro(a),Não informado,Pública,5300108,53,DF,Presente,Presente,Presente,Presente,409.4,484.9,463.0,512.8,660.0,J
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2304251,23,CE,Presente,Presente,Presente,Presente,378.0,468.9,388.4,634.1,340.0,B
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3506102,35,SP,Presente,Presente,Presente,Presente,599.8,526.7,561.5,606.5,640.0,F
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,2932903,29,BA,Presente,Presente,Presente,Presente,528.4,522.6,440.6,416.3,640.0,C
Entre 26 e 30 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,3549904,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,G
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,4318903,43,RS,Presente,Presente,Presente,Presente,539.4,521.5,482.5,529.1,540.0,D
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2309508,23,CE,Presente,Presente,Presente,Presente,430.0,483.6,472.2,443.0,600.0,B
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,5201108,52,GO,Presente,Presente,Presente,Presente,379.5,459.9,509.2,645.8,580.0,B
19 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2311306,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,F,Branca,Brasileiro(a),2010,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,437.7,449.4,318.7,478.4,420.0,B
20 anos,M,Parda,Brasileiro(a),2018,Não Respondeu,5200308,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,E
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,2607901,26,PE,Presente,Presente,Presente,Presente,577.8,662.6,661.2,736.6,980.0,G
17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3550100,35,SP,Presente,Presente,Presente,Presente,440.7,484.1,547.9,581.0,640.0,H
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,2611606,26,PE,Presente,Presente,Presente,Presente,451.3,452.2,487.6,538.2,620.0,C
23 anos,F,Parda,Brasileiro(a),2016,Não Respondeu,5006606,50,MS,Faltou,Faltou,Faltou,Faltou,,,,,,H
Entre 46 e 50 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,4318002,43,RS,Presente,Presente,Presente,Presente,430.5,633.6,535.0,514.0,500.0,D
20 anos,F,Parda,Brasileiro(a),Não informado,Pública,2616407,26,PE,Presente,Presente,Presente,Presente,431.9,360.6,360.6,392.4,560.0,B
21 anos,F,Parda,Brasileiro(a),2018,Não Respondeu,3513801,35,SP,Presente,Presente,Presente,Presente,606.7,713.1,691.1,752.0,780.0,H
22 anos,F,Preta,Brasileiro(a),2017,Não Respondeu,3518701,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,M,Preta,Brasileiro(a),Não informado,Pública,2914505,29,BA,Presente,Presente,Presente,Presente,409.7,450.1,331.3,437.9,520.0,B
20 anos,M,Branca,Brasileiro(a),2018,Não Respondeu,3547809,35,SP,Presente,Presente,Presente,Presente,728.9,714.2,633.4,806.3,880.0,G
17 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,2611101,26,PE,Presente,Presente,Presente,Presente,423.7,511.6,466.0,565.7,720.0,F
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2008,Não Respondeu,1500107,15,PA,Presente,Presente,Presente,Presente,456.6,481.5,549.8,469.9,900.0,E
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3549805,35,SP,Presente,Presente,Presente,Presente,491.5,578.1,536.6,630.8,0.0,O
Entre 26 e 30 anos,F,Parda,Brasileiro(a)Naturalizado(a),2014,Não Respondeu,1500800,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,B
19 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,2412500,24,RN,Presente,Presente,Presente,Presente,504.6,530.2,541.9,479.2,920.0,C
21 anos,F,Parda,Brasileiro(a),2018,Não Respondeu,2930105,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,B
23 anos,F,Preta,Brasileiro(a),2016,Não Respondeu,3129806,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2013,Não Respondeu,2927408,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,C
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,2505105,25,PB,Presente,Presente,Presente,Presente,511.9,602.6,531.5,681.9,920.0,E
18 anos,M,Preta,Brasileiro(a),Não informado,Pública,2409308,24,RN,Presente,Presente,Presente,Presente,466.2,499.3,461.7,608.0,540.0,C
21 anos,M,Preta,Brasileiro(a),Não informado,Pública,2909802,29,BA,Presente,Presente,Presente,Presente,371.4,401.1,316.9,442.2,400.0,B
18 anos,M,Parda,Brasileiro(a),2020,Não Respondeu,4106902,41,PR,Presente,Presente,Presente,Presente,461.4,551.5,531.4,711.8,580.0,E
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,G
19 anos,F,Branca,Brasileiro(a)Naturalizado(a),2020,Não Respondeu,5201108,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,I
19 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,H
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2909901,29,BA,Presente,Presente,Presente,Presente,526.0,551.5,521.1,454.4,580.0,C
23 anos,M,Branca,Brasileiro(a),2016,Não Respondeu,3205309,32,ES,Presente,Presente,Presente,Presente,426.3,518.2,512.2,468.1,520.0,B
25 anos,F,Parda,Brasileiro(a),2013,Não Respondeu,2908200,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,D
17 anos,M,Não Declarado,Brasileiro(a),Não informado,Pública,2302206,23,CE,Presente,Presente,Presente,Presente,453.7,457.2,501.0,495.9,680.0,B
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,1302603,13,AM,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,F,Parda,Brasileiro(a),Não informado,Privada,3304557,33,RJ,Presente,Presente,Presente,Presente,527.8,551.6,535.5,418.4,460.0,B
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,2304400,23,CE,Presente,Presente,Presente,Presente,386.0,488.1,341.0,436.6,440.0,B
Entre 26 e 30 anos,M,Parda,Brasileiro(a),Não informado,Pública,4106902,41,PR,Presente,Presente,Presente,Presente,405.1,484.6,379.1,388.8,460.0,C
18 anos,M,Branca,Brasileiro(a),Não informado,Privada,5103403,51,MT,Presente,Presente,Presente,Presente,401.6,468.9,473.2,536.1,540.0,G
Entre 31 e 35 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,2105302,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,I
19 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,3539806,35,SP,Faltou,Presente,Presente,Faltou,,400.2,478.1,,800.0,B
19 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,2925105,29,BA,Presente,Presente,Presente,Presente,510.6,600.6,539.2,562.3,600.0,F
24 anos,M,Preta,Brasileiro(a),2015,Não Respondeu,4106902,41,PR,Faltou,Presente,Presente,Faltou,,602.9,531.3,,520.0,F
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2917607,29,BA,Presente,Presente,Presente,Presente,454.1,402.4,451.5,481.4,600.0,B
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2011,Não Respondeu,1100254,11,RO,Presente,Presente,Presente,Presente,381.5,363.2,362.3,435.3,440.0,C
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3537800,35,SP,Presente,Presente,Presente,Presente,511.5,587.1,582.1,576.7,700.0,B
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,5103403,51,MT,Presente,Presente,Presente,Presente,538.7,538.6,447.4,474.0,520.0,F
21 anos,F,Preta,Brasileiro(a),2018,Não Respondeu,2925303,29,BA,Presente,Presente,Presente,Presente,498.2,434.1,492.8,438.7,580.0,B
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2304400,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,F,Branca,Brasileiro(a),2014,Não Respondeu,1100304,11,RO,Presente,Presente,Presente,Presente,390.8,363.4,434.5,640.4,680.0,F
Entre 26 e 30 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,2210607,22,PI,Presente,Presente,Presente,Presente,404.3,390.9,364.9,431.9,420.0,D
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2007,Não Respondeu,1200401,12,AC,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2804508,28,SE,Faltou,Presente,Presente,Faltou,,452.2,430.7,,400.0,A
20 anos,M,Parda,Brasileiro(a),2018,Não Respondeu,3513801,35,SP,Presente,Presente,Presente,Presente,670.2,688.6,663.8,629.5,780.0,G
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,1501402,15,PA,Presente,Presente,Presente,Presente,480.3,556.7,443.0,507.1,560.0,B
19 anos,F,Preta,Brasileiro(a),2020,Não Respondeu,2110708,21,MA,Presente,Presente,Presente,Presente,404.8,389.3,489.1,524.8,340.0,B
21 anos,F,Branca,Brasileiro(a),2015,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,F
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,5300108,53,DF,Faltou,Faltou,Faltou,Faltou,,,,,,G
19 anos,F,Branca,Brasileiro(a),Não informado,Pública,2408003,24,RN,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 36 e 40 anos,F,Não Declarado,Brasileiro(a),Antes de 2007,Não Respondeu,3106200,31,MG,Presente,Faltou,Faltou,Presente,0.0,,,0.0,,E
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,446.9,621.2,533.1,494.1,760.0,B
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,5107602,51,MT,Faltou,Faltou,Faltou,Faltou,,,,,,G
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,2613008,26,PE,Presente,Presente,Presente,Presente,438.9,440.8,441.7,474.8,600.0,B
24 anos,M,Parda,Brasileiro(a),2013,Não Respondeu,2606804,26,PE,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 36 e 40 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,3162922,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,D
21 anos,F,Parda,Brasileiro(a),2018,Não Respondeu,2307304,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,M,Preta,Brasileiro(a),Não informado,Pública,2923605,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,A
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,4316907,43,RS,Presente,Presente,Presente,Presente,456.7,603.3,558.6,677.4,320.0,E
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2012,Não Respondeu,3146107,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,K
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,1506807,15,PA,Presente,Presente,Presente,Presente,483.4,542.2,464.5,451.1,680.0,D
20 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,2704302,27,AL,Presente,Presente,Presente,Presente,444.2,475.2,541.4,458.2,880.0,E
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2304400,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
23 anos,F,Parda,Brasileiro(a),2016,Não Respondeu,2401008,24,RN,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,F,Branca,Brasileiro(a),2015,Não Respondeu,5208707,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,D
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3203007,32,ES,Presente,Presente,Presente,Presente,418.3,493.8,486.0,430.7,600.0,C
20 anos,M,Não Declarado,Brasileiro(a),Não informado,Não Respondeu,4314100,43,RS,Presente,Presente,Presente,Presente,448.6,479.2,506.4,557.3,520.0,G
18 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,5102678,51,MT,Faltou,Faltou,Faltou,Faltou,,,,,,D
Entre 41 e 45 anos,F,Preta,Brasileiro(a),2010,Não Respondeu,5107040,51,MT,Faltou,Faltou,Faltou,Faltou,,,,,,E
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,5211800,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,B
21 anos,F,Preta,Brasileiro(a),2018,Não Respondeu,2602902,26,PE,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3304904,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2211001,22,PI,Faltou,Faltou,Faltou,Faltou,,,,,,A
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2111300,21,MA,Presente,Presente,Presente,Presente,454.5,514.7,548.2,605.2,640.0,O
17 anos,F,Parda,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,2110609,21,MA,Presente,Presente,Presente,Presente,397.2,452.2,397.6,409.3,580.0,E
18 anos,M,Parda,Brasileiro(a),2020,Não Respondeu,2109106,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2011,Não Respondeu,1503606,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2014,Não Respondeu,2202307,22,PI,Faltou,Faltou,Faltou,Faltou,,,,,,G
Entre 36 e 40 anos,M,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,3547809,35,SP,Presente,Presente,Presente,Presente,595.4,644.8,539.5,647.3,340.0,D
19 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,4113502,41,PR,Presente,Presente,Presente,Presente,425.9,646.7,518.5,438.5,560.0,D
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,1501501,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,A
23 anos,F,Branca,Brasileiro(a),2016,Não Respondeu,2408102,24,RN,Faltou,Faltou,Faltou,Faltou,,,,,,E
21 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,4124103,41,PR,Presente,Presente,Presente,Presente,628.4,660.8,607.2,663.5,640.0,J
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2600500,26,PE,Presente,Presente,Presente,Presente,409.7,508.9,455.6,595.4,480.0,D
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,4108403,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,D
18 anos,F,Não Declarado,Brasileiro(a),Não informado,Pública,5107602,51,MT,Presente,Presente,Presente,Presente,436.7,405.9,471.5,473.0,460.0,D
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3107406,31,MG,Presente,Presente,Presente,Presente,665.0,692.0,675.2,790.9,860.0,B
Entre 41 e 45 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,3550308,35,SP,Faltou,Presente,Presente,Faltou,,644.3,663.9,,620.0,P
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2612208,26,PE,Presente,Presente,Presente,Presente,533.7,467.5,497.4,551.5,0.0,B
19 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,3143302,31,MG,Presente,Presente,Presente,Presente,566.2,570.5,586.3,666.1,920.0,E
17 anos,M,Branca,Brasileiro(a)Naturalizado(a),Não informado,Privada,3509502,35,SP,Presente,Presente,Presente,Presente,421.6,439.4,470.0,570.3,740.0,G
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,2929909,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,A
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,3533403,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,F
Entre 31 e 35 anos,F,Preta,Brasileiro(a),2009,Não Respondeu,3305109,33,RJ,Faltou,Presente,Presente,Faltou,,544.2,470.4,,580.0,C
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2304202,23,CE,Presente,Presente,Presente,Presente,430.6,490.7,481.3,425.0,560.0,E
21 anos,F,Branca,Brasileiro(a),2017,Não Respondeu,4119905,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,F
18 anos,M,Parda,Brasileiro(a)Naturalizado(a),Não informado,Pública,2101608,21,MA,Presente,Presente,Presente,Presente,416.2,516.5,502.2,376.4,540.0,B
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,3205309,32,ES,Presente,Presente,Presente,Presente,484.6,531.5,472.4,516.5,540.0,C
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,2504009,25,PB,Presente,Presente,Presente,Presente,582.2,597.4,480.2,692.5,840.0,I
17 anos,M,Parda,Brasileiro(a)Naturalizado(a),Não informado,Pública,1304203,13,AM,Presente,Presente,Presente,Presente,446.9,527.9,463.5,460.6,0.0,D
21 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,2601102,26,PE,Presente,Presente,Presente,Presente,393.7,543.3,487.3,460.7,700.0,C
Entre 46 e 50 anos,M,Parda,Brasileiro(a),Não informado,Pública,5003488,50,MS,Faltou,Faltou,Faltou,Faltou,,,,,,D
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,2924009,29,BA,Presente,Presente,Presente,Presente,394.2,405.8,435.6,456.9,500.0,H
Entre 36 e 40 anos,M,Preta,Brasileiro(a),Antes de 2007,Não Respondeu,4104204,41,PR,Presente,Presente,Presente,Presente,441.3,518.3,546.5,553.4,520.0,C
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3304904,33,RJ,Presente,Presente,Presente,Presente,451.4,547.7,493.6,580.7,760.0,B
23 anos,F,Parda,Brasileiro(a),2016,Não Respondeu,2203909,22,PI,Presente,Presente,Presente,Presente,431.3,517.0,387.1,445.7,600.0,A
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,2507507,25,PB,Presente,Presente,Presente,Presente,465.0,545.9,577.5,592.0,860.0,H
